post_id,positive,negative
1ikp3x8,0,0
1il669k,1,0
1il6ejp,6,8
1il8sip,2,0
1ilbm91,2,6
1ilxfg6,3,1
1im00hk,0,0
1im27jr,2,3
1imp8fs,1,5
1impdbk,6,1
1imtx1v,2,1
1imugq8,3,1
1imuuog,0,0
1in5sm6,0,0
1ini8fx,7,23
1inj64h,2,0
1inlwgv,0,1
1inm4h1,0,0
1insokf,6,2
1iodaoa,1,3
1ioqwyc,1,0
1ip7kfo,0,0
1ip7tum,0,0
1ipsmpq,1,0
1ipypld,2,0
1ipzfdo,4,4
1ir8sry,0,0
1irime9,11,9
1irlojy,2,0
1is51uo,1,0
1isbefc,0,0
1isq3on,9,4
1isx7k2,1,5
1isymw6,2,1
1itdg9b,5,4
1itp313,14,6
1ituz8y,0,0
1iu4a6e,2,2
1iubz5r,1,0
1iuhc4n,3,7
1iukiv7,0,0
1iumclm,0,0
1iumhof,0,0
1ius52q,0,0
1iux8kk,0,2
1ivgt9a,2,1
1iw6hya,0,1
1iwa8od,0,0
1iwb1pj,1,1
1iwb9sv,9,2
1iwuxja,3,1
1iwv655,5,3
1iwz8a6,2,1
1ix4ttv,0,0
1ix50od,0,0
1ix8hz5,0,1
1ixkbbn,1,0
1ixpjek,0,0
1ixxiso,0,0
1ixzuho,0,1
1iy1sl0,0,0
1iygmrs,6,3
1iz2i1a,1,2
1iz4g89,1,0
1iz8ncz,1,9
1izb6go,1,0
1izcsc4,0,0
1izl3ci,2,2
1j01etl,0,0
1j03bjd,0,0
1j08q7w,0,0
1j0r2wh,0,4
1j0ruyw,2,0
1j0sjam,0,0
1j0wi9a,1,1
1j0zmu6,0,0
1j0zr91,4,0
1j1uf0n,0,0
1j2hhzz,2,2
1j2kx05,0,0
1j2mfml,0,0
1j31aza,4,1
1j34nmq,0,0
1j35n2p,1,1
1j36mtv,2,8
1j36zni,1,1
1j372gu,1,0
1j37qz2,1,0
1j3adxm,0,0
1j3s7z2,4,0
1j3t4uz,1,3
1j3zpo9,2,1
1j4q1k8,2,0
1j4vys8,0,1
1j51n2m,2,1
1j68es5,0,0
1j7b3zx,1,0
1j7o5ok,1,0
1j7s756,0,0
1j7smjq,0,1
